Jumlah Bulan Laporan,10,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BARANG KERAJINAN, MAINAN ANAK-ANAK DAN LUKISAN",,6581840,424579497,276083746,205493241,,,173106069,2337368712,1022460307,,,,496519959,289003906,5484956285,381072905,11097226467,,
PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BARANG LAINNYA,277949559,821863760,3406538065,4862799371,1803820432,93250326,273182176,871390524,7233410704,11087233359,37606092,457966216,78158099,22819619600,15070542046,49759310776,14603704235,133558345340,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR KERTAS, BARANG DARI KERTAS, ALAT TULIS, BARANG CETAKAN, ALAT OLAHRAGA, ALAT MUSIK, ALAT FOTOGRAFI DAN KOMPUTER",,52056402,628652674,1917544401,491223675,,,141105560,2399471093,5257924381,,,118530925,4165097728,351641654,24199395592,2732992059,42455636144,,
,,,,,,,,,,,,,,,,,,,,
PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR KOMODITI HASIL PERTANIAN,,,1852952724,12576401214,922541423,173165204,,,6736015513,137946391343,18543183,,,4913221811,41523466970,90358740771,5717233157,302738673313,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR MAKANAN, MINUMAN DAN PRODUK TEMBAKAU HASIL INDUSTRI PENGOLAHAN",188337486,1648685357,2702739513,16689687968,4308573144,,42277358,226670916,8876920629,29867261421,223726963,42818942,300570043,5153341081,5304218506,152711195016,7124657044,235411681387,,
PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR PERLENGKAPAN RUMAH TANGGA,16552016,751510944,4801414979,7307287334,3261068974,118495216,215077770,102198130,16960801309,9227597786,31728918,,33011362,7915984097,12840243937,53141721500,6524833010,123249527282,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR TEKSTIL, PAKAIAN DAN ALAS KAKI",,895047148,2363296077,11559151206,2544519235,173916011,331775845,126035948,14586353455,9846976533,69021183,106412481,39022018,4267691641,5478160234,49084344950,5406272020,106877995985,,
PERDAGANGAN ECERAN KHUSUS BAHAN BAKAR KENDARAAN BERMOTOR,,,451838817,8032606007,11824376626,,,,1137503775,1726796323,,13546765,,5746065498,38904054,129579867297,77216456601,235767961763,,
"PERDAGANGAN ECERAN KHUSUS BAHAN KIMIA, BARANG FARMASI, ALAT KEDOKTERAN, PARFUM DAN KOSMETIK DI TOKO",66338907,45318067,2173318650,1134509186,2619761777,103560958,8968490,390679601,3116811000,6212636835,91824618,360643169,73802581,8247892957,2898948196,115097978811,5084908694,147727902497,,
PERDAGANGAN ECERAN KHUSUS BARANG BARU LAINNYA DI TOKO,530580243,2928914772,711555097,4486920397,2604767940,1717874907,453937620,1907891421,4095745135,59675167549,446800530,580051705,1250298969,16710461642,3963049610,168805193819,1467180449,272336391805,,
PERDAGANGAN ECERAN KHUSUS BARANG BEKAS DI TOKO,,39651354,999788894,1529527679,363301280,19750067,8968490,349433377,1713986654,3483712338,,157058551,,4878287044,3573434635,22422584336,522807965,40062292664,,
PERDAGANGAN ECERAN KHUSUS BARANG BUDAYA DAN REKREASI DI TOKO KHUSUS,192272308,131630891,188930163,1627887860,617799327,94823016,402911509,260935698,341762437,7462087565,152867349,257653096,262455910,2509430717,48053031,35672031339,2958639198,53182171414,,
"PERDAGANGAN ECERAN KHUSUS BARANG DAN BAHAN BANGUNAN, CAT DAN KACA DI TOKO",1991650096,1531744752,5023288497,42180918263,20673543668,,,1895008814,71124136124,51951681103,655279800,387945241,834476645,54494060005,35886300470,531205890570,77215862610,897051786658,,
PERDAGANGAN ECERAN KHUSUS BARANG LAINNYA YTDL,90899698,190269803,27191412891,19367363181,7403004045,,,1559035304,25127019530,16103669948,30431492,479420250,194886817,43571114659,17764329835,308480395411,29661670714,497214923578,,
"PERDAGANGAN ECERAN KHUSUS FURNITUR, PERALATAN LISTRIK RUMAH TANGGA, PERALATAN PENERANGAN DAN PERALATAN RUMAH TANGGA LAINNYA DI TOKO",1403183949,4628837797,8258374437,23694074137,11307669781,1644022331,794304649,2909814266,41625830695,26376011015,97891143,1487555201,880028849,44425423847,14075629744,180751904438,33533401663,397893957942,,
PERDAGANGAN ECERAN KHUSUS KOMODITI MAKANAN DARI HASIL PERTANIAN DI TOKO,837201631,12602471380,4351348078,13174755057,3824150610,301089999,19503333,480631918,24070805703,53267983283,5401932717,2861003425,78240049,29635840779,35544039749,194525341548,5452220880,386428560139,,
"PERDAGANGAN ECERAN KHUSUS MAKANAN, MINUMAN DAN TEMBAKAU LAINNYA DI TOKO",879048690,1234945205,38221371922,90966634120,49171689857,42277358,92481531,1147817621,84322869055,64805287439,1282708462,324907054,2111915708,103015693599,55407673541,369168946453,41946028809,904142296424,,
"PERDAGANGAN ECERAN KHUSUS PAKAIAN, ALAS KAKI DAN BARANG DARI KULIT DI TOKO",,,,,,,,,2286659937,7338372505,,,,5213207012,,68737768477,6240927139,89816935070,,
PERDAGANGAN ECERAN KHUSUS PERALATAN INFORMASI DAN KOMUNIKASI DI TOKO,456864559,1881416956,6176161168,10613232041,6851343147,184784005,59782640,1477872279,9234382772,17060783655,199658921,767031670,715890678,14451974867,5532045104,127027555172,7937079595,210627859229,,
PERDAGANGAN ECERAN KHUSUS TEKSTIL DI TOKO,667386270,1731030458,11733025506,43337643135,13060763858,712503117,1205482896,2150639797,41711710093,33204728490,389673719,984449558,838072844,32171112425,19591029297,152386616629,18944383231,374820251323,,
PERDAGANGAN ECERAN MELALUI PEMESANAN POS ATAU INTERNET,,,1065509358,64969756,,,,135759337,,2812800552,,206403438,,,,1785126335,88057559,6158626335,,
"PERDAGANGAN ECERAN YANG UTAMANYA MAKANAN, MINUMAN ATAU TEMBAKAU DI TOKO",3533361917,6371252338,86580969492,117193085661,161300211161,7074689792,1747186509,16765502340,216921646188,269079494443,3814853418,3456721646,2330611869,225140226502,163633448701,1192210943458,158129555480,2635283760915,,
PERDAGANGAN KAPAS,,,,,,,,,,,,,,,,,,,,
PERDAGANGAN KARET,,157626596,7941161262,7925946378,22026018021,,,,55595114300,39089912286,,1911169038,481709351,37420431554,430971026,91208191052,74521228803,338709479667,,
PERDAGANGAN KAYU,,37511777,3425356127,4185106174,940064972,11899024,11743185,,8681450009,4662261506,,11567508,,1760438399,644085374,39644237091,8618102287,72633823433,,
PERDAGANGAN LADA,,,,,41344574,,,,942714733,,78590228,,,131429542,72304557,1185369025,,2451752659,,
PERDAGANGAN MOBIL,175945265,190916776,1049387485,5793265226,454260419,,,,17988054541,7205213511,,61084584,,7119692542,5364957933,916188471150,8391756825,969983006257,,
PERDAGANGAN SEPEDA MOTOR,,24730687,1370765581,512609522,1818742213,177520593,,26906370,6202754872,3249982670,,16978345,46274816,3069007536,3940597199,171825980913,2397718498,194680569815,,
PERDAGANGAN SUKU CADANG DAN AKSESORI MOBIL,,195659548,6877625702,11916006670,4786300166,,690436796,705431718,9533213952,13430555843,,140771045,76657144,6756006789,1428868402,200526522813,24258596515,281322653103,,
PERDAGANGAN SUKU CADANG SEPEDA MOTOR DAN AKSESORINYA,306099930,618643234,16516348958,10442045838,24450813457,919479084,264772157,,22741469270,17647202010,272958155,1349662572,312404076,17329777013,17708827533,157478482555,21095214162,309454200004,,
PERGUDANGAN DAN PENYIMPANAN,,,,,,,,,1656609786,208764976,,,,3246620878,,108925846135,9281051276,123318893051,,
PERIKANAN BUDIDAYA BIOTA AIR LAUT LAINNYA,,90956009,,33001587,,,,,18423226,9991814,,3000000,,561543555,209088010,1042005229,,1968009430,,
PERIKLANAN DAN PENELITIAN PASAR,275519954,,,,,,,,326472319,,,201243780,,159021113,,6515063549,,7477320715,,
PERKEBUNAN BUAH KELAPA,1599863814,,205399205,951267684,3628329690,,,,163607305,2040472795,,,,197832053,,177951182173,,186737954719,,
PERKEBUNAN BUAH KELAPA SAWIT,12165162007,16414389712,291931248315,236161223493,959929774840,32115409880,46637854429,3552672829,543480674850,367671265569,560629572,432662440,2247664259,1451881240820,5070623848,9967174816065,641070211724,14578497524652,,
PERKEBUNAN BUAH OLEAGINOUS LAINNYA,,,,,,,,,,,,,,,,,,,,
PERKEBUNAN CENGKEH,,,,,,,,,,831140511,,,,,,4214321220,,5045461731,,
PERKEBUNAN KARET DAN TANAMAN PENGHASIL GETAH LAINNYA,13873152572,2985133660,186296091163,163547161119,490114502384,4435285335,1698563744,8109586707,1084611700216,523385639305,299793591,34682849422,20037646221,385105556210,12170500794,479569065603,694726385844,4105648613890,,
PERKEBUNAN LADA,,,,,,,,,,17972681,,,,,557164563,,,575137244,,
PERKEBUNAN TANAMAN AROMATIK/PENYEGAR,,,,,,,,,,,,,,,,1973753131,44609579,2018362710,,
PERKEBUNAN TANAMAN COKLAT (KAKAO),,7980595031,99697604,12074361,,,,,,56941741,,,,78896414,596021432,2391609605,,11215836188,,
PERKEBUNAN TANAMAN KOPI,,141960309,4921834443,48694957056,,209488035,,,,64930577364,15102041724,,,2051580132,81202806406,33527142707,95785148,250878173324,,
PERKEBUNAN TANAMAN OBAT / BAHAN FARMASI,,,,,,,,,109577130,45680541,,,,237781501,71801925,632720800,33157837,1130719734,,
PERKEBUNAN TANAMAN REMPAH PALA,,,,,,,,,,,,,,,,,,,,
PERKEBUNAN TANAMAN REMPAH PANILI,,,,,,,,,,,,,,,,122187677,,122187677,,
PERKEBUNAN TANAMAN REMPAH YANG TIDAK DIKLASIFIKASIKAN DI TEMPAT LAIN,,,,63568423,,,,,30000000,2584433837,,,,,1215381403,11815090618,63359742,15771834023,,
PERKEBUNAN TANAMAN TEH,,,,,,,,,,,,,,,,,,,,
PERKEBUNAN TEBU,,,38728013,,22083483,,,,461184616,6475652285,,,,,187018062,5324677274,29349578,12538693311,,
PERKEBUNAN TEMBAKAU,,,,,12768356,,,14800488,57320995,225772046,,,,132528355,17402013,670525061,124418599,1255535913,,
PERPUSTAKAAN DAN ARSIP,,,,46327509,,,,,,,,,,,,948013499,59249267,1053590275,,
PERTAMBANGAN BAHAN GALIAN LAINNYA YANG TIDAK MENGANDUNG BIJIH BESI,,,,,230094791,,,,,,,,,,,,,230094791,,
PERTAMBANGAN BATU BARA DAN LIGNIT,,,935009738,36752637692,,,,,,1139757369,,,,8626756612,,336396665851,950000000019,1333850827281,,
PERTAMBANGAN BIJIH BAUKSIT/ALUMINIUM,,,,,,,,,,,,,,,,,,,,
PERTAMBANGAN BIJIH LOGAM MULIA LAINNYA,,,,,,,,,,,,,,,,,,,,
PERTAMBANGAN BIJIH NIKEL,,,,,,,,,,,,,,,,7743202952,,7743202952,,
PERTAMBANGAN BIJIH TEMBAGA,,,,,,,,,,,,,,,,,,,,
PERTAMBANGAN BIJIH TIMAH,,,,,,,,,,,,,,,,13176164,,13176164,,
PERTAMBANGAN BIJIH URANIUM DAN THORIUM,,,,,,,,,,,,,,,,,,,,
PERTAMBANGAN DAN PENGGALIAN,,,,,,,,,,,,,,,,,,,,
PERTAMBANGAN DAN PENGGALIAN LAINNYA YTDL,,,,1499999233,,,,,1577285169,1455930500,,,,100000000,142850222,20322556582,296591238,25395212944,,
"PERTAMBANGAN MINERAL, BAHAN KIMIA DAN BAHAN PUPUK",,,,,,,,,,17287869,,,,,,0,,17287869,,
PERTAMBANGAN MINYAK BUMI DAN GAS ALAM,,,,,,,,,,,,,,,,13690888181,361004595,14051892776,,
PERTAMBANGAN PASIR BESI DAN BIJIH BESI,,,,,,,,,,38315372,,,,,,436204426,,474519798,,
PERTAMBANGAN PERAK,,,,,279854447,,,,,,,,,,,,,279854447,,
PERTAMBNGAN EMAS,,,,,2500000000,,,,,,,,,,,,,2500000000,,
PERTANIAN ANEKA UMBI PALAWIJA,,,40873641,11127820,93934461,99119292,,,5075437203,1244605841,,609459463,,615323898,989181059,14205180158,194953613,23179196449,,
PERTANIAN BIT GULA DAN TANAMAN PEMANIS BUKAN TEBU,,,,,45481699,,,,,,,3767585295,,,,,,3813066994,,
PERTANIAN BUAH APEL DAN BUAH BATU (POME AND STONE FRUITS),,,,,,,,,,,,,,,,,,,,
PERTANIAN BUAH JERUK,,,,,,,,26339320,313899027,20000000,,219483732,,748588592,145896109,505889608,80099116,2060195504,,
PERTANIAN BUAH PISANG,,,210320429,18950786,,,,,1630014263,546715902,,,,,10226626,10308922372,,12725150378,,
PERTANIAN BUAH-BUAHAN TROPIS DAN SUBTROPIS LAINNYA,11055643,500279241,141116647,335810089,472282185,249434832,,295218451,2821413238,2632541526,,269074352,,3709279889,12731709015,11810563016,654605227,36634383351,,
PERTANIAN CABAI,,,,,,,,,,179242160,,,,829185759,,,,1008427919,,
PERTANIAN CEMARA DAN TANAMAN TAHUNAN LAINNYA,,,,,,,,,,,,,,,,16452256349,,16452256349,,
PERTANIAN HORTIKULTURA BAWANG MERAH,,,,,96044418,,,,207064669,85424970,,,,259342091,126144048,56262203,61435127,891717526,,
PERTANIAN JAGUNG,100000000,3949756190,4022938,295768720,,155056511,,,381597063,37006178023,158332192,327981627,,197922034,1834132466,10648365733,31898001,55091011498,,
PERTANIAN KACANG TANAH,,,,,,,,,1219440672,8966484,,,,,33437883,174393729,,1436238768,,
PERTANIAN KEDELAI,,,6010563475,2383282612,25818569792,,,,52073181716,395751931,,,,10595828880,5150896634,103490482505,2883841841,208802399386,,
PERTANIAN PADI,38965448247,13757007567,1277303117,1738057855,19809461575,46535870,,166585560,142696031288,328729091842,,17695886124,,40123421180,21115869532,414789368522,230531296,1041140599575,,
PERTANIAN PEMBIBITAN TANAMAN BUNGA,,,,85579861,188933837,,,5380980,3382359311,178995014,,242583269,,324832969,434709296,3758687780,103652364,8705714681,,
PERTANIAN PENGEMBANGBIAKAN TANAMAN,,,,,,,,,,,,,,,,610417434,,610417434,,
PERTANIAN SAYURAN DAN BUAH SEMAK DAN BUAH BIJI KACANG-KACANGAN LAINNYA,,,,,,,,,,71367279,,,,173053127,,1455680979,,1700101385,,
"PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI LAINNYA",,341529714,1264383904,20698748541,1269363296,62098348,,242174210,17239722482,4275959989,,152296384,,15658859133,106836684791,34461667270,9902547198,212406035260,,
"PERTANIAN SEREALIA LAINNYA, ANEKA KACANG DAN BIJI-BIJIAN PENGHASIL MINYAK LAINNYA",,,,947593413,17342171,,,,1541745893,21232744119,,,,318790942,89963806,273927636510,,298075816854,,
PERTANIAN TANAMAN BERSERAT,,,,,,,,,121181282,,,,,67958810,81874324,152176341,,423190757,,
PERTANIAN TANAMAN BUNGA,,,28072211,,,,,,39848082,,,,,126126082,122483616,1976887712,27319324,2320737027,,
PERTANIAN TANAMAN HIAS,,,,94162578,28016689,,,,644821562,,,,,125065848,291428477,10525154188,175722124,11884371466,,
PERTANIAN TANAMAN SEMUSIM LAINNYA YTDL,,,55209979,1578546942,87790048,79551030,,231707413,211910299,146892229313,,,,1326520154,488400918,42600984581,338323564,193891174241,,
PERTANIAN TANAMAN UNTUK BAHAN MINUMAN LAINNYA,,,,,,,,,,,,,,,,58731414,,58731414,,
"PERTANIAN, KEHUTANAN DAN PERIKANAN",,,,,,,,,,,,,,,,,,,,
PETERNAKAN BABI,,,,,,,,,,170313609,,,,77731775,,981704753,,1229750137,,
PETERNAKAN DOMBA DAN KAMBING,4516270,32970619,127276159,182855963,63990353,327326583,,50429944,1309617896,8557585786,,310152316,,1414541250,648494587,10934891352,211870513,24176519591,,
PETERNAKAN LAINNYA,,,1044477141,,287189805,,,,963672784,737952097,,,,6492654915,1429754342,15494389706,207979141,26658069931,,
PETERNAKAN UNGGAS,28235504,155107003,1534815093,12548542552,1145043080,604862916,21117900,457874546,11608550542,19380813787,471035532,661289395,28136614,6427447823,1220320515,122749654372,6240416369,185283263543,,
PORTAL WEB DAN/ATAU PLATFORM DIGITAL DENGAN TUJUAN KOMERSIAL,,,,,,,,,,,,,,,,910656990,,910656990,,
PORTAL WEB DAN/ATAU PLATFORM DIGITAL TANPA TUJUAN KOMERSIAL,,,,,,,,,,,,,,,,,,,,
REAL ESTAT,,,,,,,,,,,,,,,,,,,,
REAL ESTAT ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK,,,892554910,653739992,9500916604,,,,,443657684,,,,652028004,193690743,17142941842,2828378087,32307907866,,
"REAL ESTATE GEDUNG PERBELANJAAN (MAL, PLAZA)",,,,,,,,,,,,,,,,1015151264396,,1015151264396,,
REAL ESTATE GEDUNG PERKANTORAN,,,,,,,,,,,,,,,,0,,0,,
REAL ESTATE GEDUNG RUMAH TOKO (RUKO) ATAU RUMAH KANTOR (RUKAN),,,,,,,,,2649717035,134663593,,,,,,247459905700,182855123,250427141451,,
REAL ESTATE LAINNYA,395751966,,62690159,72311479,26492520,,,,678514820,14031110104,,119294296,,1262717053,,307809021746,627102535,325085006678,,
REAL ESTATE PERUMAHAN FLAT / APARTEMEN,,,,,,,,,471118687,22435057,,,,,,772880764,,1266434508,,
"REAL ESTATE PERUMAHAN MENENGAH, BESAR ATAU MEWAH (TIPE DIATAS 70)",,,,,,,,,,,,,,,,111822706279,481619869,112304326148,,
REAL ESTATE PERUMAHAN SEDERHANA PERUMNAS,,,482560408,42567816,11833216,,,,,797340140,,,,62540374,2410699858,120974487327,1737913097,126519942236,,
REAL ESTATE PERUMAHAN SEDERHANA PERUMNAS TIPE 21,,,,46502931,129063122,,,,,,,,,351115233,,1547192362,244556015,2318429663,,
REAL ESTATE PERUMAHAN SEDERHANA PERUMNAS TIPE 22 S.D. 70,,,566053249,1066500000,791924695,,,,34918541,3077619448,,,,766761977,,195265828547,938151704,202507758161,,
REPARASI DAN PEMASANGAN MESIN DAN PERALATAN,,,,,,,,,,,,,,,,331180520,,331180520,,
REPARASI DAN PERAWATAN MOBIL,14129144620,3304555175,665802215,2332984824,2301566056,2698328299,2269172304,7653156986,3998320545,10888211386,507151828,2283019985,642465069,10521931054,3454319332,90432586410,7707100175,165789816263,,
REPARASI DAN PERAWATAN SEPEDA MOTOR,,,,,,,,,93445634,143514742,,,,209933350,,2956861215,127435129,3531190070,,
REPARASI KOMPUTER DAN BARANG KEPERLUAN PRIBADI DAN PERLENGKAPAN RUMAH TANGGA,,29407135,108794765,,84024974,,,,,,,,,87754612,129655246,2184872733,6289931,2630799396,,
REPRODUKSI MEDIA REKAMAN,,,,57763196,,,,,17564160,293784136,,,,27162136,,21185286,,417458914,,
RESTORAN DAN PENYEDIAAN MAKANAN KELILING,292085551,262744322,3141323346,18220503934,11557787260,326539638,,868149132,18229065721,29664151075,83698494,309467814,482266353,38971252380,3266860184,465581254941,21559600619,612816750764,,
RUMAH TANGGA,,,,,,,,,,,,,,,,,,,,
RUMAH TANGGA UNTUK KEPERLUAN MULTIGUNA BERAGUNAN APARTEMEN S.D TIPE 21,,,,,,,,,,,,,,,,230000000,,230000000,,
RUMAH TANGGA UNTUK KEPERLUAN MULTIGUNA BERAGUNAN APARTEMEN TIPE 22 S.D 70,,,,,,,,,,,,,,42539206,,2015587965,1473794579,3531921750,,
RUMAH TANGGA UNTUK KEPERLUAN MULTIGUNA BERAGUNAN APARTEMEN TIPE DIATAS 70,,,,,,,,,106724738,145242420,,,,2886161307,,3283544672,,6421673137,,
RUMAH TANGGA UNTUK KEPERLUAN MULTIGUNA BERAGUNAN RUKO/RUKAN,,142000000,2294313255,1510193582,334709784,,,335000000,3640304077,9501809673,943604427,,,3899511218,254559459,114323987292,2104212122,139284204889,,
RUMAH TANGGA UNTUK KEPERLUAN MULTIGUNA BERAGUNAN RUMAH TINGGAL S.D TIPE 21,84640628,,98655073,,,,,,,276628102,563736525,,,692090783,,6092767553,897434640,8705953304,,
RUMAH TANGGA UNTUK KEPERLUAN MULTIGUNA BERAGUNAN RUMAH TINGGAL TIPE 22 S.D 70,960998366,,912803455,1126972725,1888645726,966389630,125146137,4594425560,1279667656,1576375977,302946316,140042446,10119720355,3545084463,1116346565,80260665115,4082399271,112998629763,,
RUMAH TANGGA UNTUK KEPERLUAN MULTIGUNA BERAGUNAN RUMAH TINGGAL TIPE DIATAS 70,,,,2199098658,2182649326,,,,,2890768728,,721994867,,24423907505,1338204630,571305686992,66749761528,671812072234,,
RUMAH TANGGA UNTUK KEPERLUAN MULTIGUNA LAINNYA,624200083826,557124292787,737929010476,786276086471,608268757748,304481577672,187083851906,318487990474,464048313975,1440448499610,124671758949,61576548766,3759157030,1797324371317,374924276642,9332624401426,732157222723,18455386201798,,
RUMAH TANGGA UNTUK KEPERLUAN YANG TIDAK DIKLASIFIKASIKAN DI TEMPAT LAIN,562152860664,5056330707,435804529711,789996333658,1036416178641,171131380352,93361599872,332923374454,931874255117,718696646076,487835441989,801417663480,365541148313,445834643547,317318323602,3785116218905,932380045575,12212856974663,,
RUMAH TANGGA UNTUK PEMILIKAN FLAT ATAU APARTEMEN S.D. TIPE 21,,,,134986601,,,,,,,,,,,,53428782907,,53563769508,,
RUMAH TANGGA UNTUK PEMILIKAN FLAT ATAU APARTEMEN TIPE 22 S.D. 70,140677290,,264559031,1017400283,662001353,1980915120,,,1172007929,1477017704,,,,7196737353,2047213383,57777020406,8473684115,82209233967,,
RUMAH TANGGA UNTUK PEMILIKAN FLAT ATAU APARTEMEN TIPE DIATAS 70,,,427107394,330050150,,,,,,,,1522047088,,1318338957,,21994652275,963793558,26555989422,,
RUMAH TANGGA UNTUK PEMILIKAN FURNITUR DAN PERALATAN RUMAH TANGGA,,,,,,,,,,,,,,,,193408681,,193408681,,
RUMAH TANGGA UNTUK PEMILIKAN KENDARAAN BERMOTOR LAINNYA,,,,,,,,,,,,,434779489,97762586,545100833,427164487,,1504807395,,
RUMAH TANGGA UNTUK PEMILIKAN KOMPUTER DAN ALAT KOMUNIKASI,,,,,,,,,,4109745071,,,,,,364672934,440444240,4914862245,,
RUMAH TANGGA UNTUK PEMILIKAN MOBIL RODA EMPAT,264645582,101241765,,,,,,,,8871642527,588549909,210138466,,17435579953,2403955674,424576333136,38911432336,493363519348,,
RUMAH TANGGA UNTUK PEMILIKAN PERALATAN LAINNYA,,,,81586519,,,,,,5750387841,,,,12096660020,,201964016631,7867090463,227759741474,,
RUMAH TANGGA UNTUK PEMILIKAN RUMAH TINGGAL S.D. TIPE 21,,,527142598,3862793285,785533837,,,,669882666,1516562211,165527908,,,11812228762,5439739213,218957879392,1520526399,245257816271,,
RUMAH TANGGA UNTUK PEMILIKAN RUMAH TINGGAL TIPE 22 S.D. 70,78758410406,10551697550,64893230123,293923612864,58335850920,22988013795,15131889820,41954449006,94852527097,544988028732,16808027845,63495290709,31735596693,596339743662,101591719667,13688469676090,286605313144,16011423078123,,
RUMAH TANGGA UNTUK PEMILIKAN RUMAH TINGGAL TIPE DIATAS 70,4881638807,7631338605,2420700151,20912968407,7052452489,2953915244,325194863,681103003,6575945676,31662149107,833164608,9477500661,3284816130,37172847915,2354262714,1879116377942,47468678443,2064805054765,,
RUMAH TANGGA UNTUK PEMILIKAN RUMAH TOKO (RUKO) ATAU RUMAH KANTOR (RUKAN),2940703603,532409725,405208730,131163129,12600343,631018778,,,1580574212,4924122329,,5712821157,,8732838502,,414327083878,4455950746,444386495132,,
RUMAH TANGGA UNTUK PEMILIKAN SEPEDA BERMOTOR,,,,,,,,,,86005492,,,,449547120,,2797049498,1351437873,4684039983,,
"RUMAH TANGGA UNTUK PEMILIKAN TELEVISI, RADIO, DAN ALAT ELEKTRONIK",,,,,,,,,,,,,,,,,,,,
RUMAH TANGGA UNTUK PEMILIKAN TRUK DAN KENDARAAN BERMOTOR RODA ENAM ATAU LEBIH,,,,,,,,,,,,,,,,,178476194,178476194,,
SEWA GUNA USAHA DENGAN HAK OPSI,,,,,,,,,,,,,,,,736230392,,736230392,,
TELEKOMUNIKASI,,,,94976434,164299930,,,,,57710792,,,,961145342,,7462755961,,8740888459,,
USAHA KEHUTANAN LAINNYA,,,,258050000,,,,2879874,,,,,,110412353,,6534987918,,6906330145,,
Unknown,,,,,,,,,,,,,,,,,,,,
All,1383149938188,711181780427,2296332602173,3407150077959,3848708947032,588180438990,367073642250,778915681498,4915569683633,6597461619401,680643441790,1070294008362,502926332412,6793118573365,1919914607502,81776795167057,5787246108246,123424662650285,,
2025-12-04 00:00:00,,,,,,, - 1 - ,,,,,,14:56:22,,,,,,,
,,,,,,,,,,,,,,,,,,350647031449,,
,,,,,,,,,,,,,,,,,,15656271628211,,
